item,aspect,control_wins,control_n,control_rate,ablation_wins,ablation_n,ablation_rate,delta,paired95_lower,paired95_upper,half_width,seeds_first,seeds_last
hollowCrown,duskblade,134,200,0.670000,109,200,0.545000,-0.125000,-0.192977,-0.057023,0.067977,4000,4199
hollowCrown,ashwarden,152,200,0.760000,139,200,0.695000,-0.065000,-0.124073,-0.005927,0.059073,4000,4199
hollowCrown,combined,286,400,0.715000,248,400,0.620000,-0.095000,-0.140069,-0.049931,0.045069,4000,4199
duskmirror,duskblade,134,200,0.670000,124,200,0.620000,-0.050000,-0.083316,-0.016684,0.033316,4000,4199
duskmirror,ashwarden,152,200,0.760000,143,200,0.715000,-0.045000,-0.076978,-0.013022,0.031978,4000,4199
duskmirror,combined,286,400,0.715000,267,400,0.667500,-0.047500,-0.070562,-0.024438,0.023062,4000,4199
catalyst,duskblade,134,200,0.670000,138,200,0.690000,0.020000,-0.007648,0.047648,0.027648,4000,4199
catalyst,ashwarden,152,200,0.760000,139,200,0.695000,-0.065000,-0.111243,-0.018757,0.046243,4000,4199
catalyst,combined,286,400,0.715000,277,400,0.692500,-0.022500,-0.049726,0.004726,0.027226,4000,4199
emberLantern,duskblade,134,200,0.670000,124,200,0.620000,-0.050000,-0.099611,-0.000389,0.049611,4000,4199
emberLantern,ashwarden,152,200,0.760000,144,200,0.720000,-0.040000,-0.073576,-0.006424,0.033576,4000,4199
emberLantern,combined,286,400,0.715000,268,400,0.670000,-0.045000,-0.074919,-0.015081,0.029919,4000,4199
venomStrike,duskblade,134,200,0.670000,137,200,0.685000,0.015000,-0.006869,0.036869,0.021869,4000,4199
venomStrike,ashwarden,152,200,0.760000,154,200,0.770000,0.010000,-0.058051,0.078051,0.068051,4000,4199
venomStrike,combined,286,400,0.715000,291,400,0.727500,0.012500,-0.023195,0.048195,0.035695,4000,4199
virulence,duskblade,134,200,0.670000,135,200,0.675000,0.005000,-0.042111,0.052111,0.047111,4000,4199
virulence,ashwarden,152,200,0.760000,155,200,0.775000,0.015000,-0.037865,0.067865,0.052865,4000,4199
virulence,combined,286,400,0.715000,290,400,0.725000,0.010000,-0.025364,0.045364,0.035364,4000,4199
warCry,duskblade,134,200,0.670000,135,200,0.675000,0.005000,-0.059419,0.069419,0.064419,4000,4199
warCry,ashwarden,152,200,0.760000,156,200,0.780000,0.020000,-0.016654,0.056654,0.036654,4000,4199
warCry,combined,286,400,0.715000,291,400,0.727500,0.012500,-0.024520,0.049520,0.037020,4000,4199
eclipseSlash,duskblade,134,200,0.670000,146,200,0.730000,0.060000,-0.030726,0.150726,0.090726,4000,4199
eclipseSlash,ashwarden,152,200,0.760000,152,200,0.760000,0.000000,0.000000,0.000000,0.000000,4000,4199
eclipseSlash,combined,286,400,0.715000,298,400,0.745000,0.030000,-0.015401,0.075401,0.045401,4000,4199
