item,aspect,control_wins,control_n,control_rate,ablation_wins,ablation_n,ablation_rate,delta,seeds_first,seeds_last
catalyst,duskblade,53,80,0.662500,55,80,0.687500,0.025000,4000,4079
catalyst,ashwarden,62,80,0.775000,55,80,0.687500,-0.087500,4000,4079
venomStrike,duskblade,53,80,0.662500,54,80,0.675000,0.012500,4000,4079
venomStrike,ashwarden,62,80,0.775000,60,80,0.750000,-0.025000,4000,4079
eclipseSlash,duskblade,53,80,0.662500,60,80,0.750000,0.087500,4000,4079
eclipseSlash,ashwarden,62,80,0.775000,62,80,0.775000,0.000000,4000,4079
hollowCrown,duskblade,53,80,0.662500,44,80,0.550000,-0.112500,4000,4079
hollowCrown,ashwarden,62,80,0.775000,54,80,0.675000,-0.100000,4000,4079
emberLantern,duskblade,53,80,0.662500,53,80,0.662500,0.000000,4000,4079
emberLantern,ashwarden,62,80,0.775000,59,80,0.737500,-0.037500,4000,4079
duskmirror,duskblade,53,80,0.662500,49,80,0.612500,-0.050000,4000,4079
duskmirror,ashwarden,62,80,0.775000,56,80,0.700000,-0.075000,4000,4079
warCry,duskblade,53,80,0.662500,53,80,0.662500,0.000000,4000,4079
warCry,ashwarden,62,80,0.775000,62,80,0.775000,0.000000,4000,4079
virulence,duskblade,53,80,0.662500,55,80,0.687500,0.025000,4000,4079
virulence,ashwarden,62,80,0.775000,61,80,0.762500,-0.012500,4000,4079
