vow,aspect,act,n,mean,p25,p50,p75,min,max,in_6_10,share_in_6_10
0,duskblade,1,200,6.685000,6,7,7,4,11,167,0.835000
0,duskblade,2,176,6.738636,6,6,8,4,11,147,0.835227
0,duskblade,3,144,9.590278,8,9,11,6,14,105,0.729167
0,ashwarden,1,200,6.170000,6,6,7,4,8,162,0.810000
0,ashwarden,2,184,6.081522,5,6,7,3,9,133,0.722826
0,ashwarden,3,157,8.477707,8,8,9,5,13,144,0.917197
5,duskblade,1,199,7.422111,6,7,8,4,14,176,0.884422
5,duskblade,2,133,7.165414,6,7,8,2,12,107,0.804511
5,duskblade,3,92,9.282609,8,10,11,3,15,50,0.543478
5,ashwarden,1,194,6.757732,6,7,7,4,9,177,0.912371
5,ashwarden,2,144,6.506944,6,7,7,2,9,120,0.833333
5,ashwarden,3,98,8.500000,7,9,10,3,12,83,0.846939
