vow,aspect,slice,n,gold_earned_mean,end_gold_mean,deck_mean,hp_mean,max_hp_mean
0,duskblade,all,200,853.105,280.790,39.340,30.275,62.690
0,duskblade,win,134,974.164,273.209,42.701,45.187,62.075
0,duskblade,loss,66,607.318,296.182,32.515,0.000,63.939
0,duskblade,boss_act1,195,,211.564,20.487,45.785,71.672
0,duskblade,boss_act2,159,,293.201,31.755,41.937,64.667
0,duskblade,boss_act3,134,,273.209,42.701,45.187,62.075
0,ashwarden,all,200,890.640,269.915,40.430,33.440,70.480
0,ashwarden,win,152,973.046,247.862,42.921,44.000,70.421
0,ashwarden,loss,48,629.688,339.750,32.542,0.000,70.667
0,ashwarden,boss_act1,199,,213.658,20.322,49.945,79.678
0,ashwarden,boss_act2,169,,294.154,31.793,43.183,73.799
0,ashwarden,boss_act3,152,,247.862,42.921,44.000,70.421
5,duskblade,all,200,657.565,265.810,34.980,13.605,64.330
5,duskblade,win,72,939.681,274.667,43.792,37.792,61.472
5,duskblade,loss,128,498.875,260.828,30.023,0.000,65.938
5,duskblade,boss_act1,172,,199.808,21.529,34.169,71.814
5,duskblade,boss_act2,101,,300.574,32.525,34.941,64.158
5,duskblade,boss_act3,72,,274.667,43.792,37.792,61.472
5,ashwarden,all,200,688.580,246.930,35.510,16.430,71.490
5,ashwarden,win,80,935.513,212.575,43.050,41.075,68.875
5,ashwarden,loss,120,523.958,269.833,30.483,0.000,73.233
5,ashwarden,boss_act1,178,,203.107,21.253,37.803,79.910
5,ashwarden,boss_act2,113,,276.239,32.071,33.973,72.336
5,ashwarden,boss_act3,80,,212.575,43.050,41.075,68.875
