item,aspect,control_wins,control_n,control_rate,ablation_wins,ablation_n,ablation_rate,delta,paired95_lower,paired95_upper,half_width,seeds_first,seeds_last
hollowCrown,duskblade,134,200,0.670000,98,200,0.490000,-0.180000,-0.253203,-0.106797,0.073203,4000,4199
hollowCrown,ashwarden,149,200,0.745000,134,200,0.670000,-0.075000,-0.135462,-0.014538,0.060462,4000,4199
hollowCrown,combined,283,400,0.707500,232,400,0.580000,-0.127500,-0.175192,-0.079808,0.047692,4000,4199
duskmirror,duskblade,134,200,0.670000,127,200,0.635000,-0.035000,-0.067219,-0.002781,0.032219,4000,4199
duskmirror,ashwarden,149,200,0.745000,141,200,0.705000,-0.040000,-0.067226,-0.012774,0.027226,4000,4199
duskmirror,combined,283,400,0.707500,268,400,0.670000,-0.037500,-0.058566,-0.016434,0.021066,4000,4199
catalyst,duskblade,134,200,0.670000,133,200,0.665000,-0.005000,-0.022002,0.012002,0.017002,4000,4199
catalyst,ashwarden,149,200,0.745000,131,200,0.655000,-0.090000,-0.142337,-0.037663,0.052337,4000,4199
catalyst,combined,283,400,0.707500,264,400,0.660000,-0.047500,-0.075295,-0.019705,0.027795,4000,4199
emberLantern,duskblade,134,200,0.670000,134,200,0.670000,0.000000,-0.051986,0.051986,0.051986,4000,4199
emberLantern,ashwarden,149,200,0.745000,145,200,0.725000,-0.020000,-0.065997,0.025997,0.045997,4000,4199
emberLantern,combined,283,400,0.707500,279,400,0.697500,-0.010000,-0.044677,0.024677,0.034677,4000,4199
venomStrike,duskblade,134,200,0.670000,131,200,0.655000,-0.015000,-0.044399,0.014399,0.029399,4000,4199
venomStrike,ashwarden,149,200,0.745000,163,200,0.815000,0.070000,0.005562,0.134438,0.064438,4000,4199
venomStrike,combined,283,400,0.707500,294,400,0.735000,0.027500,-0.008114,0.063114,0.035614,4000,4199
virulence,duskblade,134,200,0.670000,137,200,0.685000,0.015000,-0.022993,0.052993,0.037993,4000,4199
virulence,ashwarden,149,200,0.745000,158,200,0.790000,0.045000,-0.009342,0.099342,0.054342,4000,4199
virulence,combined,283,400,0.707500,295,400,0.737500,0.030000,-0.003144,0.063144,0.033144,4000,4199
warCry,duskblade,134,200,0.670000,136,200,0.680000,0.010000,-0.052119,0.072119,0.062119,4000,4199
warCry,ashwarden,149,200,0.745000,151,200,0.755000,0.010000,-0.029273,0.049273,0.039273,4000,4199
warCry,combined,283,400,0.707500,287,400,0.717500,0.010000,-0.026700,0.046700,0.036700,4000,4199
eclipseSlash,duskblade,134,200,0.670000,129,200,0.645000,-0.025000,-0.114437,0.064437,0.089437,4000,4199
eclipseSlash,ashwarden,149,200,0.745000,149,200,0.745000,0.000000,0.000000,0.000000,0.000000,4000,4199
eclipseSlash,combined,283,400,0.707500,278,400,0.695000,-0.012500,-0.057179,0.032179,0.044679,4000,4199
