vow,aspect,act,n,mean,p25,p50,p75,min,max,in_6_10,share_in_6_10
0,duskblade,1,200,6.725000,6,7,8,4,12,156,0.780000
0,duskblade,2,178,6.741573,6,6,8,3,13,149,0.837079
0,duskblade,3,150,9.126667,8,9,10,3,15,114,0.760000
0,ashwarden,1,200,6.295000,6,6,7,4,9,165,0.825000
0,ashwarden,2,185,6.324324,6,6,7,4,10,142,0.767568
0,ashwarden,3,157,8.356688,7,8,9,4,13,138,0.878981
5,duskblade,1,200,7.370000,6,7,8,4,12,179,0.895000
5,duskblade,2,128,7.242188,6,7,8,4,11,112,0.875000
5,duskblade,3,83,9.433735,8,10,11,1,15,43,0.518072
5,ashwarden,1,197,6.822335,6,7,7,3,10,179,0.908629
5,ashwarden,2,144,6.534722,6,7,7,4,10,115,0.798611
5,ashwarden,3,94,8.255319,7,8,9,3,13,79,0.840426
