vow,aspect,slice,n,gold_earned_mean,end_gold_mean,deck_mean,hp_mean,max_hp_mean
0,duskblade,all,200,924.145,254.630,40.750,30.010,62.190
0,duskblade,win,134,1049.485,255.866,44.157,44.791,61.045
0,duskblade,loss,66,669.667,252.121,33.833,0.000,64.515
0,duskblade,boss_act1,195,,222.318,20.979,49.179,71.672
0,duskblade,boss_act2,160,,285.850,32.781,40.350,65.862
0,duskblade,boss_act3,134,,255.866,44.157,44.791,61.045
0,ashwarden,all,200,983.635,309.160,41.840,35.515,70.990
0,ashwarden,win,149,1069.409,282.946,44.550,47.671,70.523
0,ashwarden,loss,51,733.039,385.745,33.922,0.000,72.353
0,ashwarden,boss_act1,199,,234.251,21.060,50.181,79.558
0,ashwarden,boss_act2,171,,326.842,32.871,43.602,73.953
0,ashwarden,boss_act3,149,,282.946,44.550,47.671,70.523
5,duskblade,all,200,707.165,256.505,35.105,11.200,64.320
5,duskblade,win,54,1059.074,282.444,44.556,41.481,60.296
5,duskblade,loss,146,577.007,246.911,31.610,0.000,65.808
5,duskblade,boss_act1,160,,214.506,22.062,34.837,71.500
5,duskblade,boss_act2,97,,312.041,33.227,34.814,62.804
5,duskblade,boss_act3,54,,282.444,44.556,41.481,60.296
5,ashwarden,all,200,770.725,284.465,36.590,17.915,71.300
5,ashwarden,win,83,1042.434,286.361,44.506,43.169,68.361
5,ashwarden,loss,117,577.974,283.120,30.974,0.000,73.385
5,ashwarden,boss_act1,183,,220.301,21.847,37.033,79.475
5,ashwarden,boss_act2,113,,304.195,33.442,32.805,72.637
5,ashwarden,boss_act3,83,,286.361,44.506,43.169,68.361
