vow,aspect,seed,outcome,hp,maxHp,gold,goldEarned,deck,nFights
0,duskblade,4000,loss,0,54,241,586,36,20
0,duskblade,4001,loss,0,72,905,846,37,26
0,duskblade,4002,loss,0,62,375,481,28,16
0,duskblade,4003,win,62,62,885,1013,39,28
0,duskblade,4004,loss,0,54,215,876,43,25
0,duskblade,4005,loss,0,62,485,516,26,15
0,duskblade,4006,win,54,54,911,852,34,24
0,duskblade,4007,loss,0,72,506,575,30,16
0,duskblade,4008,win,62,62,50,1015,46,24
0,duskblade,4009,win,33,64,108,898,45,26
0,duskblade,4010,win,54,54,108,729,39,22
0,duskblade,4011,win,51,62,71,927,47,26
0,duskblade,4012,win,54,54,8,861,45,24
0,duskblade,4013,loss,0,64,484,852,40,22
0,duskblade,4014,loss,0,54,466,778,38,23
0,duskblade,4015,win,55,62,1,826,48,26
0,duskblade,4016,loss,0,64,5,204,21,9
0,duskblade,4017,win,64,64,24,1080,41,21
0,duskblade,4018,loss,0,72,259,314,26,15
0,duskblade,4019,loss,0,80,325,463,22,13
0,duskblade,4020,win,38,54,162,862,42,26
0,duskblade,4021,win,54,54,53,1027,45,26
0,duskblade,4022,loss,0,80,29,439,32,18
0,duskblade,4023,win,43,72,197,1087,45,27
0,duskblade,4024,win,62,62,547,836,38,23
0,duskblade,4025,win,35,54,70,951,42,24
0,duskblade,4026,win,14,62,31,829,39,21
0,duskblade,4027,win,56,80,407,1286,46,29
0,duskblade,4028,win,53,54,146,954,43,22
0,duskblade,4029,win,34,54,51,797,46,26
0,duskblade,4030,win,45,54,129,1027,46,28
0,duskblade,4031,win,62,62,518,1007,44,25
0,duskblade,4032,win,26,62,21,899,43,22
0,duskblade,4033,loss,0,72,34,694,35,15
0,duskblade,4034,win,39,62,1174,1267,41,30
0,duskblade,4035,loss,0,62,42,1059,47,24
0,duskblade,4036,win,34,62,566,998,45,28
0,duskblade,4037,loss,0,62,362,605,34,21
0,duskblade,4038,loss,0,72,40,365,27,14
0,duskblade,4039,win,53,70,453,1087,38,25
0,duskblade,4040,win,52,62,133,899,41,25
0,duskblade,4041,loss,0,62,649,1166,42,26
0,duskblade,4042,loss,0,64,474,509,29,18
0,duskblade,4043,win,60,72,50,918,44,25
0,duskblade,4044,win,42,62,593,1090,43,25
0,duskblade,4045,win,62,62,12,918,47,26
0,duskblade,4046,win,54,54,390,932,35,20
0,duskblade,4047,loss,0,62,4,562,30,16
0,duskblade,4048,loss,0,72,60,461,35,19
0,duskblade,4049,loss,0,72,408,471,28,17
0,duskblade,4050,win,31,62,497,791,41,26
0,duskblade,4051,win,55,64,26,927,50,27
0,duskblade,4052,win,24,62,81,945,48,26
0,duskblade,4053,win,62,62,245,1149,42,25
0,duskblade,4054,win,62,62,86,921,42,22
0,duskblade,4055,loss,0,64,54,321,28,14
0,duskblade,4056,loss,0,64,104,370,29,15
0,duskblade,4057,win,37,54,40,866,45,28
0,duskblade,4058,win,28,70,260,1067,47,29
0,duskblade,4059,win,62,62,0,1101,48,27
0,duskblade,4060,win,62,62,25,1013,46,26
0,duskblade,4061,win,22,62,74,964,43,26
0,duskblade,4062,win,37,62,242,1012,43,23
0,duskblade,4063,win,43,54,247,923,45,28
0,duskblade,4064,win,62,62,148,1120,43,27
0,duskblade,4065,win,42,62,387,1141,43,24
0,duskblade,4066,win,49,72,75,1161,47,27
0,duskblade,4067,win,42,54,43,824,38,24
0,duskblade,4068,win,48,70,311,843,43,25
0,duskblade,4069,loss,0,54,215,348,27,14
0,duskblade,4070,loss,0,54,907,808,33,24
0,duskblade,4071,win,18,54,741,1146,45,27
0,duskblade,4072,win,62,62,95,911,45,25
0,duskblade,4073,win,38,54,365,936,41,28
0,duskblade,4074,win,41,62,13,939,42,24
0,duskblade,4075,win,23,54,871,1059,36,24
0,duskblade,4076,win,70,70,1317,1258,38,28
0,duskblade,4077,loss,0,64,339,476,29,16
0,duskblade,4078,win,9,62,149,939,40,25
0,duskblade,4079,loss,0,62,481,1063,44,27
0,duskblade,4080,win,48,62,186,840,44,29
0,duskblade,4081,loss,0,62,542,443,27,16
0,duskblade,4082,loss,0,70,16,468,33,19
0,duskblade,4083,loss,0,72,63,139,21,9
0,duskblade,4084,win,39,62,47,950,40,22
0,duskblade,4085,loss,0,62,307,860,36,21
0,duskblade,4086,win,52,70,456,994,42,27
0,duskblade,4087,loss,0,62,657,1042,42,27
0,duskblade,4088,loss,0,62,452,976,42,27
0,duskblade,4089,win,30,62,42,1049,47,28
0,duskblade,4090,win,21,62,65,862,46,26
0,duskblade,4091,win,56,62,880,1092,41,29
0,duskblade,4092,win,44,62,13,911,47,24
0,duskblade,4093,win,62,62,35,904,48,25
0,duskblade,4094,win,57,70,109,992,44,26
0,duskblade,4095,win,32,62,458,1045,39,24
0,duskblade,4096,win,21,72,12,991,43,26
0,duskblade,4097,win,39,62,40,841,43,27
0,duskblade,4098,win,70,70,429,943,40,26
0,duskblade,4099,loss,0,64,69,129,19,6
0,duskblade,4100,win,40,62,994,1095,39,29
0,duskblade,4101,win,49,62,71,1140,46,26
0,duskblade,4102,win,62,62,328,1196,41,22
0,duskblade,4103,win,20,62,497,1012,44,30
0,duskblade,4104,win,40,62,451,813,37,21
0,duskblade,4105,win,60,70,62,880,44,26
0,duskblade,4106,win,47,62,515,832,38,23
0,duskblade,4107,win,63,70,20,1129,42,23
0,duskblade,4108,win,32,62,493,1046,40,25
0,duskblade,4109,win,49,62,19,850,43,26
0,duskblade,4110,win,19,62,404,1039,43,25
0,duskblade,4111,win,54,54,412,828,39,25
0,duskblade,4112,win,14,70,70,1130,47,26
0,duskblade,4113,win,70,70,5,1068,45,28
0,duskblade,4114,loss,0,80,131,472,33,17
0,duskblade,4115,win,46,70,454,1017,43,28
0,duskblade,4116,win,34,62,113,974,45,22
0,duskblade,4117,loss,0,62,564,641,32,20
0,duskblade,4118,win,42,54,63,722,44,24
0,duskblade,4119,win,54,54,329,911,42,28
0,duskblade,4120,win,18,62,48,869,38,21
0,duskblade,4121,loss,0,72,65,539,34,19
0,duskblade,4122,loss,0,54,157,292,22,10
