vow,aspect,seed,outcome,hp,maxHp,gold,goldEarned,deck,nFights
0,duskblade,4000,win,57,62,84,809,43,23
0,duskblade,4001,win,52,54,168,837,38,24
0,duskblade,4002,win,45,54,3,869,47,24
0,duskblade,4003,win,62,62,10,950,44,27
0,duskblade,4004,win,53,54,30,1042,42,23
0,duskblade,4005,win,53,62,352,941,39,21
0,duskblade,4006,win,48,62,497,897,39,25
0,duskblade,4007,win,46,46,12,939,44,21
0,duskblade,4008,win,51,54,505,1012,41,27
0,duskblade,4009,win,19,54,756,927,43,28
0,duskblade,4010,win,63,70,411,836,39,25
0,duskblade,4011,win,51,72,207,992,46,28
0,duskblade,4012,win,57,62,159,1067,41,25
0,duskblade,4013,win,54,54,230,887,40,21
0,duskblade,4014,win,70,70,212,1015,39,25
0,duskblade,4015,win,69,70,218,1059,46,30
0,duskblade,4016,win,49,54,298,1013,47,27
0,duskblade,4017,win,28,54,94,1017,42,21
0,duskblade,4018,win,62,62,303,1049,43,28
0,duskblade,4019,loss,0,54,32,350,31,16
0,duskblade,4020,win,54,54,29,1155,50,26
0,duskblade,4021,win,48,54,161,798,34,22
0,duskblade,4022,win,54,62,453,951,41,27
0,duskblade,4023,win,62,62,269,1104,37,21
0,duskblade,4024,win,42,62,48,783,44,23
0,duskblade,4025,loss,0,72,192,1137,44,28
0,duskblade,4026,win,49,54,160,844,40,22
0,duskblade,4027,win,55,62,94,1211,42,28
0,duskblade,4028,win,53,54,39,819,46,24
0,duskblade,4029,win,46,46,51,698,35,20
0,duskblade,4030,win,55,62,87,851,45,24
0,duskblade,4031,win,36,54,74,880,44,23
0,duskblade,4032,win,61,62,209,942,40,22
0,duskblade,4033,win,46,70,159,1312,48,26
0,duskblade,4034,win,55,62,7,1053,50,29
0,duskblade,4035,win,54,54,198,1049,46,27
0,duskblade,4036,win,52,54,650,948,42,27
0,duskblade,4037,win,59,62,41,714,43,23
0,duskblade,4038,win,12,54,10,978,47,28
0,duskblade,4039,win,43,54,19,928,44,25
0,duskblade,4040,win,64,64,175,995,47,25
0,duskblade,4041,loss,0,70,582,739,36,22
0,duskblade,4042,win,48,54,168,937,42,23
0,duskblade,4043,win,32,62,33,741,43,24
0,duskblade,4044,win,49,54,327,945,41,21
0,duskblade,4045,win,42,62,9,893,44,25
0,duskblade,4046,win,62,62,82,808,41,22
0,duskblade,4047,loss,0,72,53,221,18,6
0,duskblade,4048,loss,0,80,56,128,22,9
0,duskblade,4049,loss,0,72,261,342,23,11
0,duskblade,4050,win,37,54,762,1137,37,25
0,duskblade,4051,win,54,62,34,881,45,27
0,duskblade,4052,win,59,62,75,1005,39,24
0,duskblade,4053,loss,0,64,133,332,19,8
0,duskblade,4054,win,44,62,78,956,44,26
0,duskblade,4055,win,50,54,46,644,42,22
0,duskblade,4056,win,30,54,593,1013,41,26
0,duskblade,4057,loss,0,62,118,913,38,23
0,duskblade,4058,win,74,80,1182,1123,37,28
0,duskblade,4059,win,62,62,21,938,42,24
0,duskblade,4060,win,62,62,5,915,40,23
0,duskblade,4061,loss,0,54,265,998,41,23
0,duskblade,4062,win,54,62,15,954,40,21
0,duskblade,4063,win,69,70,575,1171,42,31
0,duskblade,4064,win,37,54,51,933,42,26
0,duskblade,4065,win,62,62,93,1120,46,26
0,duskblade,4066,win,58,62,252,998,45,27
0,duskblade,4067,win,54,54,1076,1017,37,26
0,duskblade,4068,win,51,54,168,864,50,29
0,duskblade,4069,loss,0,54,378,511,30,18
0,duskblade,4070,win,62,62,801,1132,40,27
0,duskblade,4071,win,54,54,401,767,39,23
0,duskblade,4072,win,54,70,30,734,37,22
0,duskblade,4073,win,42,72,161,963,44,27
0,duskblade,4074,win,46,62,17,893,46,27
0,duskblade,4075,win,65,70,418,1199,45,27
0,duskblade,4076,win,62,62,254,971,43,23
0,duskblade,4077,win,52,54,89,948,40,27
0,duskblade,4078,win,62,62,67,801,38,21
0,duskblade,4079,win,72,72,29,1176,41,23
0,duskblade,4080,win,28,54,872,965,38,28
0,duskblade,4081,win,43,54,215,1108,46,26
0,duskblade,4082,win,62,62,661,1111,43,30
0,duskblade,4083,win,55,62,233,805,41,27
0,duskblade,4084,win,49,62,202,898,40,23
0,duskblade,4085,win,44,62,826,1017,35,25
0,duskblade,4086,win,70,70,200,841,44,28
0,duskblade,4087,loss,0,62,382,854,41,26
0,duskblade,4088,win,54,54,367,948,41,26
0,duskblade,4089,win,70,70,189,1025,45,28
0,duskblade,4090,win,70,70,14,956,44,23
0,duskblade,4091,win,35,62,254,1114,46,28
0,duskblade,4092,win,33,62,253,1020,45,27
0,duskblade,4093,win,79,80,66,1107,48,28
0,duskblade,4094,win,62,62,557,910,42,27
0,duskblade,4095,win,55,62,58,956,41,26
0,duskblade,4096,win,54,54,5,1021,46,24
0,duskblade,4097,win,54,54,243,1019,47,29
0,duskblade,4098,win,51,54,52,928,43,25
0,duskblade,4099,win,54,54,362,1053,44,23
0,duskblade,4100,win,62,70,33,1036,42,26
0,duskblade,4101,win,54,54,226,976,41,22
0,duskblade,4102,win,59,62,162,768,38,20
0,duskblade,4103,win,71,80,102,1077,48,28
0,duskblade,4104,win,54,54,106,868,38,21
0,duskblade,4105,win,16,62,925,1122,39,27
0,duskblade,4106,win,61,62,770,1087,38,24
0,duskblade,4107,win,58,62,49,1168,44,23
0,duskblade,4108,win,50,62,664,1201,45,26
0,duskblade,4109,win,54,54,118,1047,46,26
0,duskblade,4110,win,38,72,233,1022,40,27
0,duskblade,4111,win,36,54,543,1085,40,26
0,duskblade,4112,win,59,62,197,1002,41,25
0,duskblade,4113,win,54,62,188,883,43,24
0,duskblade,4114,win,62,62,512,995,44,29
0,duskblade,4115,win,37,70,1185,1126,38,30
0,duskblade,4116,win,45,62,191,969,42,26
0,duskblade,4117,win,68,70,127,988,46,27
0,duskblade,4118,win,24,80,30,1025,45,30
0,duskblade,4119,win,54,54,1201,1142,40,31
0,duskblade,4120,win,62,62,129,940,43,25
0,duskblade,4121,win,24,62,38,884,41,26
0,duskblade,4122,win,38,62,373,924,40,21
0,duskblade,4123,win,59,62,18,1114,44,25
0,duskblade,4124,win,58,62,186,1245,46,26
0,duskblade,4125,win,50,54,566,1046,45,29
0,duskblade,4126,win,45,62,206,1079,44,26
0,duskblade,4127,win,7,72,61,811,39,23
0,duskblade,4128,win,47,62,93,1031,44,27
0,duskblade,4129,win,62,62,603,852,41,25
0,duskblade,4130,win,36,62,808,946,41,27
0,duskblade,4131,win,61,62,29,1395,52,26
0,duskblade,4132,win,62,62,331,1145,47,29
0,duskblade,4133,win,45,54,855,959,41,26
0,duskblade,4134,win,33,62,131,983,43,29
0,duskblade,4135,win,54,54,440,986,44,31
0,duskblade,4136,loss,0,72,33,635,30,16
0,duskblade,4137,win,51,54,602,1123,46,32
0,duskblade,4138,win,43,54,174,1033,48,27
0,duskblade,4139,loss,0,72,55,446,28,14
0,duskblade,4140,win,54,54,395,907,40,26
0,duskblade,4141,win,62,62,85,1129,47,24
0,duskblade,4142,win,35,62,540,988,39,25
0,duskblade,4143,win,47,54,27,876,36,21
0,duskblade,4144,win,35,54,1,1038,39,25
0,duskblade,4145,loss,0,64,33,519,28,17
0,duskblade,4146,win,34,62,569,1085,47,31
0,duskblade,4147,win,50,54,36,842,45,28
0,duskblade,4148,win,62,62,81,960,41,24
0,duskblade,4149,loss,0,80,394,335,19,9
0,duskblade,4150,win,41,70,50,919,43,26
0,duskblade,4151,win,54,54,113,1028,40,24
0,duskblade,4152,loss,0,72,229,488,32,17
0,duskblade,4153,win,26,62,26,843,48,26
0,duskblade,4154,win,23,62,44,1093,41,22
0,duskblade,4155,win,62,62,5,984,43,24
0,duskblade,4156,win,62,62,34,915,43,25
0,duskblade,4157,win,54,62,189,1125,42,26
0,duskblade,4158,win,41,62,521,1118,43,29
0,duskblade,4159,win,54,54,189,1019,38,24
0,duskblade,4160,win,62,62,5,1191,47,27
0,duskblade,4161,loss,0,62,155,828,39,20
0,duskblade,4162,win,52,54,93,964,39,22
0,duskblade,4163,loss,0,72,309,210,21,11
0,duskblade,4164,loss,0,72,238,139,18,8
0,duskblade,4165,win,40,62,88,954,43,24
0,duskblade,4166,win,49,70,722,1094,44,29
0,duskblade,4167,win,70,70,485,1067,44,28
0,duskblade,4168,loss,0,54,167,481,31,18
0,duskblade,4169,win,48,62,32,819,44,25
0,duskblade,4170,win,47,62,170,981,46,29
0,duskblade,4171,win,51,62,548,957,37,22
0,duskblade,4172,win,54,62,1073,1225,37,26
0,duskblade,4173,win,28,62,643,1156,44,30
0,duskblade,4174,win,45,72,3,786,39,24
0,duskblade,4175,win,45,62,706,1200,42,27
0,duskblade,4176,win,54,54,627,971,40,25
0,duskblade,4177,win,57,62,108,697,35,18
0,duskblade,4178,win,62,62,278,1067,44,26
0,duskblade,4179,win,25,62,35,902,45,21
0,duskblade,4180,win,26,54,550,970,41,24
0,duskblade,4181,win,40,62,799,961,40,26
0,duskblade,4182,win,62,62,540,1011,39,25
0,duskblade,4183,win,49,70,114,1111,48,31
0,duskblade,4184,win,48,62,171,806,42,24
0,duskblade,4185,win,49,54,220,889,41,27
0,duskblade,4186,loss,0,54,133,1018,44,28
0,duskblade,4187,win,61,70,283,1057,43,28
0,duskblade,4188,win,70,70,138,991,46,28
0,duskblade,4189,win,27,62,743,1065,40,27
0,duskblade,4190,win,62,62,20,992,48,26
0,duskblade,4191,win,70,70,769,1317,43,29
0,duskblade,4192,win,28,54,230,968,44,28
0,duskblade,4193,win,54,54,57,831,43,25
0,duskblade,4194,loss,0,72,288,385,25,15
0,duskblade,4195,win,47,54,36,1053,43,23
0,duskblade,4196,win,54,54,502,937,39,23
0,duskblade,4197,win,51,62,30,935,42,28
