kind,vow,weak,mix,isolate,aspect,wins,runs,winRate,lo,hi,gold,eRunsTo10,eOwnShade,topRelic,topShare
mix,5,true,none,,duskblade,17,80,0.2125,0.137124,0.314222,514.725,47.0588235294118,13.2212885154062,riverPearl,0.702128
mix,5,true,none,,ashwarden,30,80,0.375,0.276942,0.484513,692.9375,26.6666666666667,10.1333333333333,riverPearl,0.702128
mix,0,false,A_modest_linear,,duskblade,70,80,0.875,0.784972,0.930664,928.725,11.4285714285714,26.2857142857143,hollowCrown,0.881944
mix,0,false,A_modest_linear,,ashwarden,74,80,0.925,0.84588,0.965175,951.05,10.8108108108108,42.1621621621622,hollowCrown,0.881944
mix,2,false,A_modest_linear,,duskblade,54,80,0.675,0.566405,0.767558,892.3375,14.8148148148148,12.1937321937322,hollowCrown,0.900826
mix,2,false,A_modest_linear,,ashwarden,67,80,0.8375,0.741571,0.902502,975.525,11.9402985074627,20.849598163031,hollowCrown,0.900826
mix,5,false,A_modest_linear,,duskblade,51,80,0.6375,0.528108,0.734292,937.3875,15.6862745098039,11.4131169709263,hollowCrown,0.910714
mix,5,false,A_modest_linear,,ashwarden,61,80,0.7625,0.658592,0.842353,1023.625,13.1147540983607,15.2545297670406,hollowCrown,0.910714
mix,5,true,A_modest_linear,,duskblade,22,80,0.275,0.189178,0.381441,643.9125,36.3636363636364,11.41065830721,thornBand,0.649123
mix,5,true,A_modest_linear,,ashwarden,35,80,0.4375,0.334139,0.546589,844.2,22.8571428571429,9.90476190476191,thornBand,0.649123
mix,0,false,B_steep_rarity,,duskblade,70,80,0.875,0.784972,0.930664,928.725,11.4285714285714,26.2857142857143,hollowCrown,0.881944
mix,0,false,B_steep_rarity,,ashwarden,74,80,0.925,0.84588,0.965175,951.05,10.8108108108108,42.1621621621622,hollowCrown,0.881944
mix,2,false,B_steep_rarity,,duskblade,54,80,0.675,0.566405,0.767558,876.6625,14.8148148148148,12.1937321937322,hollowCrown,0.965217
mix,2,false,B_steep_rarity,,ashwarden,61,80,0.7625,0.658592,0.842353,945.3125,13.1147540983607,15.2545297670406,hollowCrown,0.965217
