kind,vow,weak,mix,isolate,aspect,wins,runs,winRate,lo,hi,gold,eRunsTo10,eOwnShade,topRelic,topShare
ladder,0,false,none,,duskblade,70,80,0.875,0.784972,0.930664,928.725,11.4285714285714,26.2857142857143,hollowCrown,0.881944
ladder,0,false,none,,ashwarden,74,80,0.925,0.84588,0.965175,951.05,10.8108108108108,42.1621621621622,hollowCrown,0.881944
ladder,1,false,none,,duskblade,70,80,0.875,0.784972,0.930664,924.375,11.4285714285714,26.2857142857143,hollowCrown,0.909722
ladder,1,false,none,,ashwarden,74,80,0.925,0.84588,0.965175,974.8,10.8108108108108,42.1621621621622,hollowCrown,0.909722
ladder,2,false,none,,duskblade,64,80,0.8,0.699538,0.872972,891.5625,12.5,17.5,hollowCrown,0.900763
ladder,2,false,none,,ashwarden,67,80,0.8375,0.741571,0.902502,947.2125,11.9402985074627,20.849598163031,hollowCrown,0.900763
ladder,3,false,none,,duskblade,56,80,0.7,0.592318,0.789354,837.8125,14.2857142857143,12.8571428571429,hollowCrown,0.892562
ladder,3,false,none,,ashwarden,65,80,0.8125,0.713417,0.882947,921.9625,12.3076923076923,18.4615384615385,hollowCrown,0.892562
ladder,4,false,none,,duskblade,53,80,0.6625,0.553565,0.756544,784.1,15.0943396226415,11.9077568134172,hollowCrown,0.882353
ladder,4,false,none,,ashwarden,66,80,0.825,0.727425,0.892794,890.5,12.1212121212121,19.5670995670996,hollowCrown,0.882353
ladder,5,false,none,,duskblade,51,80,0.6375,0.528108,0.734292,755.1,15.6862745098039,11.4131169709263,hollowCrown,0.872727
ladder,5,false,none,,ashwarden,59,80,0.7375,0.63181,0.821426,844.7625,13.5593220338983,14.1404358353511,hollowCrown,0.872727
iso,1,false,none,iron,duskblade,70,80,0.875,0.784972,0.930664,924.375,11.4285714285714,26.2857142857143,hollowCrown,0.909722
iso,1,false,none,iron,ashwarden,74,80,0.925,0.84588,0.965175,974.8,10.8108108108108,42.1621621621622,hollowCrown,0.909722
iso,2,false,none,malice,duskblade,66,80,0.825,0.727425,0.892794,898.7,12.1212121212121,19.5670995670996,hollowCrown,0.884892
iso,2,false,none,malice,ashwarden,73,80,0.9125,0.830232,0.956968,936.075,10.958904109589,36.4774951076321,hollowCrown,0.884892
iso,3,false,none,deep,duskblade,71,80,0.8875,0.799818,0.939673,940.3375,11.2676056338028,28.9201877934272,hollowCrown,0.890411
iso,3,false,none,deep,ashwarden,75,80,0.9375,0.861899,0.973011,945.9375,10.6666666666667,50.1333333333333,hollowCrown,0.890411
iso,4,false,none,mark,duskblade,73,80,0.9125,0.830232,0.956968,905.375,10.958904109589,36.4774951076321,hollowCrown,0.89726
iso,4,false,none,mark,ashwarden,73,80,0.9125,0.830232,0.956968,932.5875,10.958904109589,36.4774951076321,hollowCrown,0.89726
iso,5,false,none,waning,duskblade,68,80,0.85,0.755868,0.91206,922.0,11.7647058823529,22.3529411764706,hollowCrown,0.880282
iso,5,false,none,waning,ashwarden,74,80,0.925,0.84588,0.965175,943.9875,10.8108108108108,42.1621621621622,hollowCrown,0.880282
iso,1,false,none,deadhex,duskblade,70,80,0.875,0.784972,0.930664,928.725,11.4285714285714,26.2857142857143,hollowCrown,0.881944
iso,1,false,none,deadhex,ashwarden,74,80,0.925,0.84588,0.965175,951.05,10.8108108108108,42.1621621621622,hollowCrown,0.881944
iso,1,false,none,empty1,duskblade,70,80,0.875,0.784972,0.930664,928.725,11.4285714285714,26.2857142857143,hollowCrown,0.881944
iso,1,false,none,empty1,ashwarden,74,80,0.925,0.84588,0.965175,951.05,10.8108108108108,42.1621621621622,hollowCrown,0.881944
